method,endpoint,status_code,response_time,request_size,hour
GET,/products/377,200,133,892,14
POST,/api/search,200,191,956,23
GET,/health,200,20,150,11
GET,/products/370,200,131,927,10
POST,/api/search,200,239,902,18
GET,/health,200,12,134,5
GET,/health,200,8,148,8
GET,/users,200,126,1117,16
POST,/api/search,200,272,938,13
GET,/products/184,200,121,839,14
POST,/api/search,200,250,1041,19
GET,/health,200,13,140,5
POST,/api/search,200,240,955,21
GET,/users/4439,200,110,801,13
GET,/users/3112,200,95,686,14
GET,/health,200,8,148,8
POST,/api/search,200,328,967,23
GET,/products/120,200,151,916,18
POST,/payments,201,376,1470,15
GET,/users/967,200,84,854,14
GET,/users,200,109,971,8
POST,/payments,201,304,1743,14
POST,/api/search,200,263,978,18
GET,/users,200,135,823,17
POST,/api/search,200,232,854,15
GET,/health,200,8,137,2
GET,/products/461,200,125,982,11
GET,/health,200,9,165,19
GET,/health,200,15,145,15
GET,/users,200,111,1051,8
POST,/api/search,200,308,1063,18
POST,/payments,413,700,120894,10
GET,/products/328,200,115,829,13
GET,/health,200,19,166,11
POST,/api/search,200,252,942,15
POST,/api/search,200,253,1094,14
GET,/users/2257,200,86,664,13
GET,/products/534,200,121,961,16
POST,/api/search,200,247,905,21
GET,/products/331,200,142,975,12
GET,/health,200,17,145,10
POST,/api/search,200,273,890,19
GET,/products/749,200,111,1024,21
POST,/api/search,200,278,1122,18
GET,/health,200,9,158,7
GET,/health,200,12,151,13
POST,/api/search,200,250,893,20
POST,/api/search,200,274,1018,21
POST,/api/search,200,275,997,19
GET,/products/180,200,92,1089,14
GET,/users,200,110,937,13
GET,/users/2301,200,90,794,19
GET,/products/680,200,129,943,17
POST,/payments,201,253,1389,12
GET,/products/298,200,127,1015,9
GET,/users,200,98,958,16
POST,/payments,201,328,1473,17
GET,/users,200,9792,1530,5
GET,/users/4491,200,128,769,19
POST,/api/search,200,268,1025,14
GET,/users,200,119,903,10
POST,/api/search,200,266,1049,19
GET,/health,200,11,149,17
POST,/payments,201,331,1554,19
POST,/payments,201,286,1446,18
GET,/users,200,114,1054,18
GET,/users,200,12013,698,23
GET,/health,200,16,138,17
